objective,graph
-0.616,v 0 C v 1 N v 2 C v 3 N v 4 C v 5 C v 6 O v 7 C v 8 O v 9 C v 10 O v 11 C v 12 N v 13 C v 14 O v 15 C v 16 C v 17 C v 18 C v 19 Cl v 20 C v 21 N v 22 O v 23 O v 24 C v 25 C v 26 O v 27 N v 28 C v 29 C v 30 O v 31 H v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H e 0 1 - e 0 31 - e 0 32 - e 0 33 - e 1 2 - e 1 29 - e 1 34 - e 2 3 - e 2 4 - e 3 35 - e 3 36 - e 4 5 - e 4 25 - e 5 6 = e 5 7 - e 7 8 - e 7 37 - e 7 38 - e 8 9 - e 9 10 = e 9 11 - e 11 12 - e 11 39 - e 11 40 - e 12 13 - e 12 41 - e 13 14 = e 13 15 - e 15 16 : e 15 24 : e 16 17 : e 16 42 - e 17 18 : e 17 43 - e 18 19 - e 18 20 : e 20 21 - e 20 24 : e 21 22 = e 21 23 - e 24 44 - e 25 26 = e 25 27 - e 27 28 - e 27 29 - e 27 45 - e 28 46 - e 28 47 - e 28 48 - e 29 30 =
-0.67,v 0 O v 1 C v 2 O v 3 C v 4 C v 5 O v 6 C v 7 O v 8 C v 9 O v 10 C v 11 C v 12 C v 13 C v 14 O v 15 C v 16 O v 17 C v 18 C v 19 O v 20 C v 21 O v 22 C v 23 O v 24 C v 25 C v 26 C v 27 C v 28 O v 29 C v 30 O v 31 C v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H e 0 1 = e 1 2 - e 1 24 - e 2 3 - e 3 4 - e 3 32 - e 3 33 - e 4 5 - e 4 22 - e 4 34 - e 5 6 - e 6 7 - e 6 18 - e 6 35 - e 7 8 - e 8 9 = e 8 10 - e 10 11 : e 10 17 : e 11 12 : e 11 36 - e 12 13 : e 12 37 - e 13 14 - e 13 15 : e 14 38 - e 15 16 - e 15 17 : e 16 39 - e 17 40 - e 18 19 - e 18 20 - e 18 41 - e 19 42 - e 20 21 - e 20 22 - e 20 43 - e 21 44 - e 22 23 - e 22 45 - e 23 46 - e 24 25 : e 24 31 : e 25 26 : e 25 47 - e 26 27 : e 26 48 - e 27 28 - e 27 29 : e 28 49 - e 29 30 - e 29 31 : e 30 50 - e 31 51 -
-0.178,v 0 N v 1 C v 2 C v 3 C v 4 C v 5 O v 6 O v 7 C v 8 O v 9 N v 10 C v 11 C v 12 C v 13 C v 14 N v 15 C v 16 C v 17 C v 18 C v 19 C v 20 C v 21 C v 22 O v 23 N v 24 C v 25 C v 26 C v 27 C v 28 O v 29 O v 30 C v 31 O v 32 O v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H v 57 H v 58 H e 0 1 - e 0 33 - e 0 34 - e 1 2 - e 1 7 - e 1 35 - e 2 3 - e 2 36 - e 2 37 - e 3 4 - e 3 38 - e 3 39 - e 4 5 = e 4 6 - e 6 40 - e 7 8 = e 7 9 - e 9 10 - e 9 41 - e 10 11 - e 10 21 - e 10 42 - e 11 12 - e 11 43 - e 11 44 - e 12 13 : e 12 20 : e 13 14 : e 13 45 - e 14 15 : e 14 46 - e 15 16 : e 15 20 : e 16 17 : e 16 47 - e 17 18 : e 17 48 - e 18 19 : e 18 49 - e 19 20 : e 19 50 - e 21 22 = e 21 23 - e 23 24 - e 23 51 - e 24 25 - e 24 30 - e 24 52 - e 25 26 - e 25 53 - e 25 54 - e 26 27 - e 26 55 - e 26 56 - e 27 28 = e 27 29 - e 29 57 - e 30 31 = e 30 32 - e 32 58 -
-0.294,v 0 O v 1 P v 2 O v 3 C v 4 C v 5 C v 6 S v 7 O v 8 O v 9 C v 10 O v 11 C v 12 C v 13 C v 14 S v 15 O v 16 O v 17 C v 18 O v 19 C v 20 C v 21 C v 22 S v 23 O v 24 O v 25 C v 26 H v 27 H v 28 H v 29 H v 30 H v 31 H v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H e 0 1 = e 1 2 - e 1 10 - e 1 18 - e 2 3 - e 3 4 - e 3 9 - e 3 26 - e 4 5 - e 4 27 - e 4 28 - e 5 6 - e 5 29 - e 5 30 - e 6 7 = e 6 8 = e 6 9 - e 9 31 - e 9 32 - e 10 11 - e 11 12 - e 11 17 - e 11 33 - e 12 13 - e 12 34 - e 12 35 - e 13 14 - e 13 36 - e 13 37 - e 14 15 = e 14 16 = e 14 17 - e 17 38 - e 17 39 - e 18 19 - e 19 20 - e 19 25 - e 19 40 - e 20 21 - e 20 41 - e 20 42 - e 21 22 - e 21 43 - e 21 44 - e 22 23 = e 22 24 = e 22 25 - e 25 45 - e 25 46 -
-0.516,v 0 C v 1 C v 2 C v 3 C v 4 C v 5 C v 6 C v 7 C v 8 C v 9 C v 10 S v 11 C v 12 O v 13 C v 14 C v 15 O v 16 C v 17 O v 18 C v 19 O v 20 C v 21 C v 22 O v 23 C v 24 O v 25 C v 26 O v 27 C v 28 O v 29 C v 30 O v 31 C v 32 O v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H v 57 H v 58 H v 59 H v 60 H v 61 H v 62 H v 63 H v 64 H v 65 H v 66 H v 67 H v 68 H v 69 H v 70 H v 71 H v 72 H v 73 H v 74 H e 0 1 - e 0 33 - e 0 34 - e 0 35 - e 1 2 - e 1 36 - e 1 37 - e 2 3 - e 2 38 - e 2 39 - e 3 4 - e 3 40 - e 3 41 - e 4 5 - e 4 42 - e 4 43 - e 5 6 - e 5 44 - e 5 45 - e 6 7 - e 6 46 - e 6 47 - e 7 8 - e 7 48 - e 7 49 - e 8 9 - e 8 50 - e 8 51 - e 9 10 - e 9 52 - e 9 53 - e 10 11 - e 11 12 - e 11 31 - e 11 54 - e 12 13 - e 13 14 - e 13 16 - e 13 55 - e 14 15 - e 14 56 - e 14 57 - e 15 58 - e 16 17 - e 16 29 - e 16 59 - e 17 18 - e 18 19 - e 18 27 - e 18 60 - e 19 20 - e 20 21 - e 20 23 - e 20 61 - e 21 22 - e 21 62 - e 21 63 - e 22 64 - e 23 24 - e 23 25 - e 23 65 - e 24 66 - e 25 26 - e 25 27 - e 25 67 - e 26 68 - e 27 28 - e 27 69 - e 28 70 - e 29 30 - e 29 31 - e 29 71 - e 30 72 - e 31 32 - e 31 73 - e 32 74 -
-0.659,v 0 C v 1 S v 2 O v 3 O v 4 O v 5 C v 6 C v 7 C v 8 C v 9 C v 10 C v 11 N v 12 C v 13 O v 14 N v 15 C v 16 C v 17 C v 18 C v 19 C v 20 C v 21 C v 22 O v 23 N v 24 C v 25 C v 26 C v 27 C v 28 O v 29 S v 30 C v 31 O v 32 O v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H e 0 1 - e 0 33 - e 0 34 - e 0 35 - e 1 2 = e 1 3 = e 1 4 - e 4 5 - e 5 6 - e 5 36 - e 5 37 - e 6 7 - e 6 10 - e 6 26 - e 7 8 - e 7 26 - e 7 38 - e 8 9 - e 8 25 - e 8 39 - e 9 10 - e 9 25 - e 9 40 - e 10 11 - e 10 41 - e 11 12 - e 11 23 - e 11 42 - e 12 13 = e 12 14 - e 14 15 - e 14 21 - e 14 43 - e 15 16 : e 15 20 : e 16 17 : e 16 44 - e 17 18 : e 17 45 - e 18 19 : e 18 46 - e 19 20 : e 19 47 - e 20 48 - e 21 22 = e 21 23 - e 23 24 - e 23 49 - e 24 25 - e 24 26 - e 24 50 - e 25 51 - e 26 27 - e 27 28 - e 27 52 - e 27 53 - e 28 29 - e 29 30 - e 29 31 = e 29 32 = e 30 54 - e 30 55 - e 30 56 -
-0.271,v 0 C v 1 C v 2 O v 3 O v 4 C v 5 C v 6 C v 7 C v 8 O v 9 O v 10 N v 11 C v 12 O v 13 C v 14 N v 15 C v 16 O v 17 C v 18 C v 19 C v 20 N v 21 C v 22 C v 23 N v 24 O v 25 O v 26 C v 27 N v 28 C v 29 S v 30 C v 31 H v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H e 0 1 - e 0 31 - e 0 32 - e 0 33 - e 1 2 = e 1 3 - e 3 4 - e 4 5 - e 4 34 - e 4 35 - e 5 6 = e 5 30 - e 6 7 - e 6 10 - e 7 8 = e 7 9 - e 9 36 - e 10 11 - e 10 28 - e 11 12 = e 11 13 - e 13 14 - e 13 28 - e 13 37 - e 14 15 - e 14 38 - e 15 16 = e 15 17 - e 17 18 - e 17 19 - e 17 39 - e 18 40 - e 18 41 - e 18 42 - e 19 20 - e 19 43 - e 19 44 - e 20 21 - e 20 27 - e 20 45 - e 21 22 - e 21 46 - e 22 23 - e 22 26 - e 23 24 = e 23 25 - e 26 27 - e 26 47 - e 28 29 - e 28 48 - e 29 30 - e 30 49 - e 30 50 -
-0.086,v 0 C v 1 C v 2 C v 3 C v 4 C v 5 C v 6 S v 7 O v 8 O v 9 N v 10 C v 11 C v 12 O v 13 C v 14 C v 15 N v 16 C v 17 O v 18 C v 19 O v 20 N v 21 C v 22 C v 23 C v 24 N v 25 C v 26 C v 27 O v 28 C v 29 C v 30 C v 31 C v 32 C v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H v 57 H v 58 H v 59 H v 60 H v 61 H v 62 H v 63 H v 64 H v 65 H v 66 H e 0 1 - e 0 33 - e 0 34 - e 0 35 - e 1 2 : e 1 32 : e 2 3 : e 2 36 - e 3 4 - e 3 5 : e 4 37 - e 4 38 - e 4 39 - e 5 6 - e 5 30 : e 6 7 = e 6 8 = e 6 9 - e 9 10 - e 9 13 - e 10 11 - e 10 40 - e 10 41 - e 11 12 - e 11 42 - e 11 43 - e 12 13 - e 13 14 - e 13 44 - e 14 15 - e 14 45 - e 14 46 - e 15 16 - e 15 47 - e 16 17 = e 16 18 - e 18 19 = e 18 20 - e 20 21 - e 20 48 - e 21 22 - e 21 49 - e 21 50 - e 22 23 - e 22 51 - e 22 52 - e 23 24 - e 23 53 - e 23 54 - e 24 25 - e 24 29 - e 25 26 - e 25 55 - e 25 56 - e 26 27 - e 26 57 - e 26 58 - e 27 28 - e 28 29 - e 28 59 - e 28 60 - e 29 61 - e 29 62 - e 30 31 - e 30 32 : e 31 63 - e 31 64 - e 31 65 - e 32 66 -
-0.734,v 0 C v 1 N v 2 C v 3 C v 4 C v 5 O v 6 C v 7 C v 8 N v 9 O v 10 C v 11 O v 12 C v 13 O v 14 C v 15 O v 16 C v 17 C v 18 O v 19 C v 20 C v 21 O v 22 C v 23 C v 24 C v 25 N v 26 C v 27 C v 28 C v 29 C v 30 C v 31 C v 32 C v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H v 57 H v 58 H v 59 H v 60 H v 61 H v 62 H v 63 H v 64 H v 65 H e 0 1 - e 0 33 - e 0 34 - e 0 35 - e 1 2 - e 1 3 - e 2 36 - e 2 37 - e 2 38 - e 3 4 - e 3 32 - e 3 39 - e 4 5 - e 4 6 = e 5 40 - e 6 7 - e 6 10 - e 7 8 - e 7 9 = e 8 41 - e 8 42 - e 10 11 = e 10 12 - e 12 13 - e 12 14 - e 12 32 - e 13 43 - e 14 15 - e 14 16 = e 15 44 - e 16 17 - e 16 30 - e 17 18 = e 17 19 - e 19 20 - e 19 28 - e 19 45 - e 20 21 - e 20 22 - e 20 46 - e 21 47 - e 22 23 - e 22 48 - e 22 49 - e 23 24 - e 23 50 - e 23 51 - e 24 25 - e 24 28 - e 24 52 - e 25 26 - e 25 27 - e 26 53 - e 26 54 - e 26 55 - e 27 56 - e 27 57 - e 27 58 - e 28 29 - e 28 59 - e 29 30 - e 29 60 - e 29 61 - e 30 31 - e 30 62 - e 31 32 - e 31 63 - e 31 64 - e 32 65 -
-0.257,v 0 C v 1 S v 2 C v 3 C v 4 C v 5 N v 6 C v 7 O v 8 N v 9 C v 10 C v 11 O v 12 N v 13 C v 14 C v 15 C v 16 S v 17 C v 18 C v 19 O v 20 N v 21 C v 22 C v 23 C v 24 S v 25 C v 26 C v 27 O v 28 O v 29 H v 30 H v 31 H v 32 H v 33 H v 34 H v 35 H v 36 H v 37 H v 38 H v 39 H v 40 H v 41 H v 42 H v 43 H v 44 H v 45 H v 46 H v 47 H v 48 H v 49 H v 50 H v 51 H v 52 H v 53 H v 54 H v 55 H v 56 H v 57 H v 58 H v 59 H v 60 H e 0 1 - e 0 29 - e 0 30 - e 0 31 - e 1 2 - e 2 3 - e 2 32 - e 2 33 - e 3 4 - e 3 34 - e 3 35 - e 4 5 - e 4 6 - e 4 36 - e 5 37 - e 5 38 - e 6 7 = e 6 8 - e 8 9 - e 8 39 - e 9 10 - e 9 40 - e 9 41 - e 10 11 = e 10 12 - e 12 13 - e 12 42 - e 13 14 - e 13 18 - e 13 43 - e 14 15 - e 14 44 - e 14 45 - e 15 16 - e 15 46 - e 15 47 - e 16 17 - e 17 48 - e 17 49 - e 17 50 - e 18 19 = e 18 20 - e 20 21 - e 20 51 - e 21 22 - e 21 26 - e 21 52 - e 22 23 - e 22 53 - e 22 54 - e 23 24 - e 23 55 - e 23 56 - e 24 25 - e 25 57 - e 25 58 - e 25 59 - e 26 27 = e 26 28 - e 28 60 -
